,relevant_sentences,sent_count_x,rel_match_all,sent_count_y,company_label,company_index,sent_index,label
172,enables operators to control the boom on our machines as if it is a human arm.,16,"Used by harvesters in the felling (or cutting) stage and on forwarders for extractions, IBC is a technology that enables operators to control the boom on our machines as if it is a human arm.",35,Deere,0017,0189,rel
173,The controls used for reaching and securing trees for harvest intuitively mirror how that piece of equipment might function if it was actually the operator’s arm.,26,The controls used for reaching and securing trees for harvest intuitively mirror how that piece of equipment might function if it was actually the operator’s arm.,26,Deere,0017,0190,rel
174,"This allows the operator to be 10-percent more efﬁ cient, which translates into both fuel and time savings.",18,"This allows the operator to be 10-percent more efﬁ cient, which translates into both fuel and time savings.",18,Deere,0017,0191,rel
175,And we are on a path to exceed this goal.,10,And we are on a path to exceed this goal.,10,Deere,0017,0332,rel
176,"In 2021, we achieved 20-percent reduction in GHG emissions from 2017 baseline and 40.5-percent renewable electricity.¹ Key drivers of the reductions we saw this year included: the implementation of more than 40 energy-efﬁ ciency projects globally, in lighting and controls, compressed air, and manufacturing processes; the continued greening of our electricity supply; and an employee focus on eliminating energy waste.",60,"In 2021, we achieved 20-percent reduction in GHG emissions from 2017 baseline and 40.5-percent renewable electricity.¹ Key drivers of the reductions we saw this year included: the implementation of more than 40 energy-efﬁ ciency projects globally, in lighting and controls, compressed air, and manufacturing processes; the continued greening of our electricity supply; and an employee focus on eliminating energy waste.",60,Deere,0017,0333,rel
177,"For 2021, our enterprise Scope 1 GHG emissions were 403,300 metric tons and our Scope 2 GHG emissions were 407,700 metric tons.",22,"For 2021, our enterprise Scope 1 GHG emissions were 403,300 metric tons and our Scope 2 GHG emissions were 407,700 metric tons.",22,Deere,0017,0334,rel
178,"An excellent example is our Solstice® line of low global warming potential refrigerants, propellants, and solvents.",16,"An excellent example is our Solstice® line of low global warming potential refrigerants, propellants, and solvents.",16,Honeywell,0018,0485,rel
179,"Just that product line alone has helped us - and our customers, avoid potential emissions of more than 200 million metric tons of carbon dioxide equivalent from the atmosphere.",29,"Just that product line alone has helped us - and our customers, avoid potential emissions of more than 200 million metric tons of carbon dioxide equivalent from the atmosphere.",29,Honeywell,0018,0486,rel
180,"Since project tracking began in 2010, more than 5,700 efficiency projects, including building automation and controls, lighting, and mechanical upgrades have been implemented at our facilities, resulting in $100 million in annualized savings.",33,"Since project tracking began in 2010, more than 5,700 efficiency projects, including building automation and controls, lighting, and mechanical upgrades have been implemented at our facilities, resulting in $100 million in annualized savings.",33,Honeywell,0018,0502,rel
181,"Efficiency projects installed at our site include site-wide LED lighting, new variable frequency drives, upgrades to HVAC controls, and compressed air leak detection and repair, all estimated to save nearly 20% of the site’s GHG emissions.",36,"For example: Phoenix, Arizona Efficiency projects installed at our site include site-wide LED lighting, new variable frequency drives, upgrades to HVAC controls, and compressed air leak detection and repair, all estimated to save nearly 20% of the site’s GHG emissions.",40,Honeywell,0018,0512,rel
182,Our site implemented LED lighting in the production area and completed renewal projects for their steam traps and absorption cooling system with an estimated savings of 8% of the site’s GHG emissions.,32,"Seelze, Germany Our site implemented LED lighting in the production area and completed renewal projects for their steam traps and absorption cooling system with an estimated savings of 8% of the site’s GHG emissions.",34,Honeywell,0018,0514,rel
183,"Our site installed 1,152 solar modules with a total capacity of 426 kWp.",13,"Trieste, Italy Our site installed 1,152 solar modules with a total capacity of 426 kWp.",15,Honeywell,0018,0515,rel
184,The now fully operational array is expected to reduce significant GHG emissions from the site and offset approximately 35% of energy use from the grid.,25,The now fully operational array is expected to reduce significant GHG emissions from the site and offset approximately 35% of energy use from the grid.,25,Honeywell,0018,0516,rel
185,"Ultimately, this increases HVAC efficiency and is expected to save energy usage by 5% while improving user comfort.",18,"Ultimately, this increases HVAC efficiency and is expected to save energy usage by 5% while improving user comfort.",18,Honeywell,0018,0519,rel
186,2050 3M’s goal is to achieve carbon neutrality by,9,"Our proactive leadership is best defined by six areas of action: • Executive-level commitment to these important topics and our related principles, policies, commitments, and risk-mitigation planning efforts, including membership in RE100, the global corporate initiative committed to 100% renewable electricity by 2050 • Collaborations with organizations that are committed to the important work of addressing climate change, including the Global Alliance for Sustainable Energy, TPG Rise Climate, the Task Force on Climate- Related Financial Disclosures (TCFD), and the United Nations Framework Convention on Climate Change (UNFCCC) • Industry-leading efforts to measure and reduce our own greenhouse gas (GHG) emissions, including a goal to achieve carbon neutrality by 2050 • Extensive public policy engagement on both climate change and energy conservation • A decade’s-long track record of improving energy efficiency at our sites • Serving our customers through a wide range of innovative products that help them improve energy efficiency and reduce their greenhouse gas emissions Climate and energy Science-based innovation to address climate change and conserve energy 2050 3M’s goal is to achieve carbon neutrality by Site spotlights Who we are How we work What we create About report 149 3M 2022 Global Impact Report | #improvinglives",198,3M,0019,2068,rel
187,"Goal: improve energy efficiency, indexed to net sales, by 30% by 2025 Goal: increase renewable energy to 50% of total electricity use by 2025 In 2019, we achieved our 2025 goal by surpassing 25% renewable electricity.",36,"In 2019, we achieved our 2025 goal by surpassing 25% renewable electricity.",12,3M,0019,2183,rel
188,"As part of our strategic focus on empowering Science for Climate, we increased our interim target from 25% to 50% renewable electricity by 2025, toward our ultimate goal of 100% renewable electricity by 2050.",34,"As part of our strategic focus on empowering Science for Climate, we increased our interim target from 25% to 50% renewable electricity by 2025, toward our ultimate goal of 100% renewable electricity by 2050.",34,3M,0019,2184,rel
189,"Goal: reduce Scope 1 and 2 market-based GHG emissions from our 2019 baseline by at least 50% by 2030, 80% by 2040, and be 100% carbon neutral in our operations by 2050",32,"Goal: reduce Scope 1 and 2 market-based GHG emissions from our 2019 baseline by at least 50% by 2030, 80% by 2040, and be 100% carbon neutral in our operations by 2050 2030 goal 2019 Progress: toward goal of reducing GHG emissions 3M’s actions to reduce our GHG emissions began in 2000.",52,3M,0019,2186,rel
190,"3M has reduced Scope 1 GHG emissions by 82.3% since 2002, providing a direct and immediate reduction of our carbon emissions.",21,"Global energy use MWh 8,000,000 6,000,000 4,000,000 2,000,000 10,000,000 2018 2019 2021 2020 2017 2010 2015 2005 0 Indexed global energy use MWh per MM $USD net sales 100 200 300 400 2017 2019 2020 2021 2018 2015 2010 2005 0 1,500,000 500,000 2,000,000 1,000,000 3,000,000 3,500,000 2019 2018 2020 2021 2015 0 2,500,000 2017 2016 Non-renewable sources Renewable sources Global Electricity Consumption MWh Direct (Scope 1) and indirect (Scope 2) greenhouse gas emissions 3M has reduced Scope 1 GHG emissions by 82.3% since 2002, providing a direct and immediate reduction of our carbon emissions.",95,3M,0019,2222,rel
191,"During this same timeframe, we achieved a 75.0% reduction in absolute Scope 1 and 2 location-based GHG emissions.",18,"During this same timeframe, we achieved a 75.0% reduction in absolute Scope 1 and 2 location-based GHG emissions.",18,3M,0019,2223,rel
192,"Since 2019, 3M reduced Scope 1 GHG emissions by 26.4%, and achieved a 26.1% reduction in absolute Scope 1 and 2 market-based GHG emissions.",24,"Since 2019, 3M reduced Scope 1 GHG emissions by 26.4%, and achieved a 26.1% reduction in absolute Scope 1 and 2 market-based GHG emissions.",24,3M,0019,2224,rel
193,"GHG emission reductions are achieved through a variety of methods: improving process and equipment efficiency, upgrading equipment, reducing our demand for energy use, increasing our use of renewable electricity, and implementing and maintaining emission control technologies.",36,"GHG emission reductions are achieved through a variety of methods: improving process and equipment efficiency, upgrading equipment, reducing our demand for energy use, increasing our use of renewable electricity, and implementing and maintaining emission control technologies.",36,3M,0019,2243,rel
194,"In 2019, Union Pacific reduced its target scope GHG emissions by roughly 10% from its baseline in 2018 due to improvements in operating efficiency.",24,"In 2019, Union Pacific reduced its target scope GHG emissions by roughly 10% from its baseline in 2018 due to improvements in operating efficiency.",24,UnionPacific,0020,0071,rel
195,"In 2020, Union Pacific further reduced its target scope GHG emissions by another 10% from its base year.",18,"In 2020, Union Pacific further reduced its target scope GHG emissions by another 10% from its base year.",18,UnionPacific,0020,0072,rel
196,The reduction in 2020 was largely driven by decreased volumes as a result of the COVID-19 pandemic.,17,The reduction in 2020 was largely driven by decreased volumes as a result of the COVID-19 pandemic.,17,UnionPacific,0020,0073,rel
197,"As we now turn our focus toward growth, we anticipate we’ll have to rely on more than operational efficiencies to achieve our goals.",23,"As we now turn our focus toward growth, we anticipate we’ll have to rely on more than operational efficiencies to achieve our goals.",23,UnionPacific,0020,0074,rel
198,"At the same time, we have retired about 2,500 older, less fuel-efficient locomotives, which reduced our total fleet by approximately 35%.",21,"At the same time, we have retired about 2,500 older, less fuel-efficient locomotives, which reduced our total fleet by approximately 35%.",21,UnionPacific,0020,0090,rel
199,"Nearly 175 high- and low-horsepower locomotives were overhauled in 2020, meaning they were completely rebuilt to meet more stringent emissions standards.",21,"Union Pacific | Climate Action Plan 9 Nearly 175 high- and low-horsepower locomotives were overhauled in 2020, meaning they were completely rebuilt to meet more stringent emissions standards.",28,UnionPacific,0020,0094,rel
200,Each modernization results in an approximate 53% reduction in emissions and an additional 5% reduction in fuel consumption per engine.,20,Each modernization results in an approximate 53% reduction in emissions and an additional 5% reduction in fuel consumption per engine.,20,UnionPacific,0020,0095,rel
201,Our Energy Management System (EMS) on locomotives helps us identify opportunities to save fuel.,14,Our Energy Management System (EMS) on locomotives helps us identify opportunities to save fuel.,14,UnionPacific,0020,0104,rel
202,EMS has been implemented in approximately two thirds of our active road fleet with a target of full implementation by 2025.,21,EMS has been implemented in approximately two thirds of our active road fleet with a target of full implementation by 2025.,21,UnionPacific,0020,0106,rel
203,We estimate that EMS will reduce our absolute GHG emissions by 4% annually by 2025.,15,We estimate that EMS will reduce our absolute GHG emissions by 4% annually by 2025.,15,UnionPacific,0020,0107,rel
204,Additional management actions have allowed us to further reduce overall locomotive energy consumption by 1.5% from 2018 to 2020.,19,Additional management actions have allowed us to further reduce overall locomotive energy consumption by 1.5% from 2018 to 2020.,19,UnionPacific,0020,0110,rel
205,"In 2020, we estimate that our customers eliminated approximately 21.9 million metric tons of GHG emissions by choosing rail over truck transportation.",22,"In 2020, we estimate that our customers eliminated approximately 21.9 million metric tons of GHG emissions by choosing rail over truck transportation.",22,UnionPacific,0020,0119,rel
206,That’s the equivalent of removing 4.32 million cars from our highways or planting 335 million trees.,16,That’s the equivalent of removing 4.32 million cars from our highways or planting 335 million trees.,16,UnionPacific,0020,0120,rel
207,"We replaced 160 light fixtures with LED lights in our Fort Worth locomotive shop to save annually approximately 425,000 kWh.",20,"We replaced 160 light fixtures with LED lights in our Fort Worth locomotive shop to save annually approximately 425,000 kWh.",20,UnionPacific,0020,0177,rel
208,"We completed a similar project in our North Platte Supply Department, replacing 47 fixtures to save annually approximately 100,000 kWh.",20,"We completed a similar project in our North Platte Supply Department, replacing 47 fixtures to save annually approximately 100,000 kWh.",20,UnionPacific,0020,0179,rel
209,We affirm our ambitious target of a more than 30% reduction in greenhouse gas emissions related to sales of petroleum prod- ucts (Scope 3 Oil) by 2030 compared to 2015.,30,We affirm our ambitious target of a more than 30% reduction in greenhouse gas emissions related to sales of petroleum prod- ucts (Scope 3 Oil) by 2030 compared to 2015.,30,Total,0021,0037,rel
210,"To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring com- pletely by 2030.",57,"To that, we add phased targets for reducing methane emissions (50% from 2020 levels by 2025 and 80% from 2020 levels by 2030) to move towards zero methane and an objective of less than 0.1 million cubic meters per day for routine gas flaring at our operated assets by 2025, before eliminating flaring com- pletely by 2030.",57,Total,0021,0038,rel
211,"otalEnergies is reducing the share of petro- leum products in its sales mix, from 65% in 2015 to 44% in 2021 (excluding the impact of Covid-19), and a targeted 30% in 2030.",32,Excluding the impact of Covid-19.,5,Total,0021,0168,rel
212,The Company aims to produce 2 TWh per year of biomethane starting in 2025 and over 5 TWh per year by 2030 worldwide.,23,The Company aims to produce 2 TWh per year of biomethane starting in 2025 and over 5 TWh per year by 2030 worldwide.,23,Total,0021,0284,rel
213,"In early 2021, TotalEnergies became a major player in biogas in France by acquiring Fonroche Biogaz, with 500 GWh of installed capacity.",22,"Growing presence in biogas • In early 2021, TotalEnergies became a major player in biogas in France by acquiring Fonroche Biogaz, with 500 GWh of installed capacity.",27,Total,0021,0297,rel
214,"The facility will use livestock manure from dairy farms to produce more than 40 GWh per year of biomethane; as a result, 45 kt of CO2e emissions will be avoided each year.",32,"The facility will use livestock manure from dairy farms to produce more than 40 GWh per year of biomethane; as a result, 45 kt of CO2e emissions will be avoided each year.",32,Total,0021,0300,rel
215,"— TotalEnergies, working with Engie, is developing the MassHylia green hydrogen project at the La Mède biorefinery.",17,"Développement durable et climat - 2022 Sustainability & Climate 2022 Progress Report Green hydrogen projects — • TotalEnergies, working with Engie, is developing the MassHylia green hydrogen project at the La Mède biorefinery.",33,Total,0021,0303,rel
216,It will be supplied by solar and wind farms with capacity of almost 300 MW.,15,It will be supplied by solar and wind farms with capacity of almost 300 MW.,15,Total,0021,0304,rel
217,"The 125 MW electrolyzer will produce over 10,000 tons of green hydrogen a year, meeting the needs of the biorefinery and reducing its emissions by 140,000 tCO2/year.",27,"The 125 MW electrolyzer will produce over 10,000 tons of green hydrogen a year, meeting the needs of the biorefinery and reducing its emissions by 140,000 tCO2/year.",27,Total,0021,0305,rel
218,"• At the Zeeland refinery, the Company plans to capture carbon from the steam methane reforming unit (SMR1) that produces hydrogen from natural gas.",24,"• At the Zeeland refinery, the Company plans to capture carbon from the steam methane reforming unit (SMR1) that produces hydrogen from natural gas.",24,Total,0021,0306,rel
219,It is also developing a 150 MW electrolyzer intended to be linked to an offshore wind field.,17,It is also developing a 150 MW electrolyzer intended to be linked to an offshore wind field.,17,Total,0021,0307,rel
220,A unit to produce sustainable aviation fuels that emit less than half the CO2 of their fossil equivalents and incorporate over 90% waste materials.,24,"Climate and sustainable energy, with: • A unit to produce sustainable aviation fuels that emit less than half the CO2 of their fossil equivalents and incorporate over 90% waste materials.",30,Total,0021,0331,rel
221,"Two 25 MW photovoltaic power plants, equivalent to the elec- tric power needs of 30,000 people.",16,"Two 25 MW photovoltaic power plants, equivalent to the elec- tric power needs of 30,000 people.",16,Total,0021,0334,rel
222,"Several renewable electricity projects, which are compati- ble by nature with these criteria, were approved, such as off- shore wind projects Round 4 and ScotWind (United Kingdom), Yunlin (Taiwan), five onshore wind projects in France with a total gross capacity of nearly 200 MW, and several solar ener- gy projects in France, Spain, Iraq and the US, with approximate- ly 3 GW of gross capacity.",65,"Several renewable electricity projects, which are compati- ble by nature with these criteria, were approved, such as off- shore wind projects Round 4 and ScotWind (United Kingdom), Yunlin (Taiwan), five onshore wind projects in France with a total gross capacity of nearly 200 MW, and several solar ener- gy projects in France, Spain, Iraq and the US, with approximate- ly 3 GW of gross capacity.",65,Total,0021,0383,rel
223,The Company's strategy of focusing new oil investments on low carbon intensity projects also led it to exit from extra heavy crude oil assets in Venezuela's Orinoco Belt in 2021.,30,The Company's strategy of focusing new oil investments on low carbon intensity projects also led it to exit from extra heavy crude oil assets in Venezuela's Orinoco Belt in 2021.,30,Total,0021,0396,rel
224,"Even if carbon pricing does not currently apply in all of the Company's host countries, TotalEnergies includes, as a base case, a minimum carbon price of $40/ton in its investment cri- teria (or the current price in a given country, if higher), with the assumption of a linear increase to $100 per ton as from 2030.",56,"• Even if carbon pricing does not currently apply in all of the Company's host countries, TotalEnergies includes, as a base case, a minimum carbon price of $40/ton in its investment cri- teria (or the current price in a given country, if higher), with the assumption of a linear increase to $100 per ton as from 2030.",57,Total,0021,0401,rel
225,Decarbonize our electricity purchases in Europe and the United States (Scope 2) by 2025.,14,• Decarbonize our electricity purchases in Europe and the United States (Scope 2) by 2025.,15,Total,0021,0434,rel
226,Develop a carbon storage offer for our customers with capacity exceeding 10 Mt/year by 20305.,15,• Develop a carbon storage offer for our customers with capacity exceeding 10 Mt/year by 20305.,16,Total,0021,0446,rel
227,Develop a CCS capacity of more than 10 Mt/y by 20305.,11,CAPTURE AND STORE CARBON FROM OUR FACILITIES • Develop a CCS capacity of more than 10 Mt/y by 20305.,19,Total,0021,0448,rel
228,Reduce emissions by 80% from 2020 levels by 2030.,9,TOWARDS ZERO METHANE EMISSION • Reduce emissions by 80% from 2020 levels by 2030.,14,Total,0021,0449,rel
229,Maintain methane intensity of operated gas installations below 0.1%.,9,• Maintain methane intensity of operated gas installations below 0.1%.,10,Total,0021,0450,rel
230,Invest $100 million a year to develop natural carbon sink capacity of more than 5 Mt/y by 2030.,18,OFFSET RESIDUAL EMISSIONS • Invest $100 million a year to develop natural carbon sink capacity of more than 5 Mt/y by 2030.,22,Total,0021,0451,rel
231,Reduce emissions from its operated industrial facilities (Scope 1+2) by over 40% by 2030 and disclose the progress made at its operated and non- operated facilities.,26,The Company is taking action to: • Reduce emissions from its operated industrial facilities (Scope 1+2) by over 40% by 2030 and disclose the progress made at its operated and non- operated facilities.,33,Total,0021,0454,rel
232,"In early 2019, TotalEnergies announced its aim to reduce emissions from its operated facilities to less than 40 Mt by 2025 and set itself the target of cutting Scope 1&2 net emis- sions (including carbon sinks) for its operated activities by at least 40% in 2030 relative to 2015.",49,"In early 2019, TotalEnergies announced its aim to reduce emissions from its operated facilities to less than 40 Mt by 2025 and set itself the target of cutting Scope 1&2 net emis- sions (including carbon sinks) for its operated activities by at least 40% in 2030 relative to 2015.",49,Total,0021,0458,rel
233,"Our levers The main route to achieving these objectives is developing emissions reduction projects on our industrial sites, using the best technologies available: improving energy efficien- cy, reducing flaring, reducing methane emissions, supplying renewable electricity and using CCS for residual emissions.",41,"Our levers The main route to achieving these objectives is developing emissions reduction projects on our industrial sites, using the best technologies available: improving energy efficien- cy, reducing flaring, reducing methane emissions, supplying renewable electricity and using CCS for residual emissions.",41,Total,0021,0461,rel
234,"To reach our net emissions targets, nature based solutions (NBS1) will, by 2030, offset some of our emissions (5 to 10 Mt/y).",22,"To reach our net emissions targets, nature based solutions (NBS1) will, by 2030, offset some of our emissions (5 to 10 Mt/y).",22,Total,0021,0462,rel
235,Our progress in 2021 Scope 1+2 emissions decreased from 41.5 Mt in 2020 to 37.0 Mt (excluding the impact of Covid) in 2021 thanks to 120 emissions-reduction initiatives carried out across the Company and portfolio management aligned with our strate- gy (divestment of the Lindsey refinery in the United Kingdom and the cessation of operations of Grandpuits in France).,59,Sustainability & Climate 2022 Progress Report SCOPE 1 & 2 AT OPERATED FACILITIES In MtCO2e/year 2015 46 41.5 37.0 New business (CCGTs) 20209 20219 + 6 % - 14% - 11% 0  40  Our progress in 2021 Scope 1+2 emissions decreased from 41.5 Mt in 2020 to 37.0 Mt (excluding the impact of Covid) in 2021 thanks to 120 emissions-reduction initiatives carried out across the Company and portfolio management aligned with our strate- gy (divestment of the Lindsey refinery in the United Kingdom and the cessation of operations of Grandpuits in France).,92,Total,0021,0472,rel
236,These data include the commissioning of two combined cycle gas turbine plants.,12,These data include the commissioning of two combined cycle gas turbine plants.,12,Total,0021,0473,rel
237,"By 2025, 160 upstream projects and more than 200 downstream projects will yield reductions in Scope 1+2 emissions of 2.5 and 4.5 Mt of CO2 respectively.",26,"By 2025, 160 upstream projects and more than 200 downstream projects will yield reductions in Scope 1+2 emissions of 2.5 and 4.5 Mt of CO2 respectively.",26,Total,0021,0519,rel
238,"— In 2020, TotalEnergies decided to aim for net zero emissions for all electricity purchases at its operated sites in Europe by 2025.",23,"Go Green Project: Reducing Scope 2 emissions from electricity purchases — In 2020, TotalEnergies decided to aim for net zero emissions for all electricity purchases at its operated sites in Europe by 2025.",33,Total,0021,0520,rel
239,"All In Europe, electricity will be provided by solar farms acquired in Spain in 2020, offering capacity of 5 GW and production of 10 TWh/year by 2025.",27,"• In Europe, electricity will be provided by solar farms acquired in Spain in 2020, offering capacity of 5 GW and production of 10 TWh/year by 2025.",27,Total,0021,0523,rel
240,Six TWh/year will be routed to European sites under a PPA2.,11,Six TWh/year will be routed to European sites under a PPA2.,11,Total,0021,0524,rel
241,"For the United States, in 2021 the Company acquired a portfolio of 2.2 GW in solar projects and 0.6 GW in battery storage projects to cover 100% of electricity needs at operated industrial sites, including the Port Arthur refining and petrochemical complex and the La Porte and Carville petrochemical sites.",50,"• For the United States, in 2021 the Company acquired a portfolio of 2.2 GW in solar projects and 0.6 GW in battery storage projects to cover 100% of electricity needs at operated industrial sites, including the Port Arthur refining and petrochemical complex and the La Porte and Carville petrochemical sites.",51,Total,0021,0526,rel
242,It halved its operated methane emissions between 2010 and 2020.,10,It halved its operated methane emissions between 2010 and 2020.,10,Total,0021,0538,rel
243,"In line with the Glasgow agreements, the Company is setting new targets for the cur- rent decade: reductions from 2020 levels of 50% by 2025 and 80% by 2030.",29,"In line with the Glasgow agreements, the Company is setting new targets for the cur- rent decade: reductions from 2020 levels of 50% by 2025 and 80% by 2030.",29,Total,0021,0539,rel
244,The Company is also maintaining its target of keeping methane intensity below 0.1% across its operated gas facilities.,18,The Company is also maintaining its target of keeping methane intensity below 0.1% across its operated gas facilities.,18,Total,0021,0540,rel
245,"In 2021, the decline from the year before linked to reductions in venting came to 6 kt per year (projects in Gabon and the U.K.).",25,"In 2021, the decline from the year before linked to reductions in venting came to 6 kt per year (projects in Gabon and the U.K.).",25,Total,0021,0568,rel
246,"Reductions in flaring: In 2021, the decrease in flaring from 2020 reduced emissions by 1.8 kt per year.",18,"• Reductions in flaring: In 2021, the decrease in flaring from 2020 reduced emissions by 1.8 kt per year.",19,Total,0021,0569,rel
247,Leak reduction: annual campaigns to identify and repair leaks at all operated sites will be deployed starting in 2022.,19,• Leak reduction: annual campaigns to identify and repair leaks at all operated sites will be deployed starting in 2022.,20,Total,0021,0570,rel
248,"In 2021, emissions declined by 4 kt as a result of leak reduction efforts, including a significant upgrade to the OML58 facility in Nigeria.",24,"In 2021, emissions declined by 4 kt as a result of leak reduction efforts, including a significant upgrade to the OML58 facility in Nigeria.",24,Total,0021,0571,rel
249,"CO2, From 2010 to 2013, TotalEnergies developed a pilot project in Lacq, France, involving a complete CCS chain, in which carbon from a steam generator was captured using oxy-combustion technology (a European first) and then transported and stored in a depleted reservoir.",42,"From 2010 to 2013, TotalEnergies developed a pilot project in Lacq, France, involving a complete CCS chain, in which carbon from a steam generator was captured using oxy-combustion technology (a European first) and then transported and stored in a depleted reservoir.",41,Total,0021,0577,rel
250,"TotalEnergies allocated $100 million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually.",26,"TotalEnergies allocated $100 million to CCS research and projects in 2021, and by 2030 it expects to be expanding storage capacity by around 10 Mt annually.",26,Total,0021,0583,rel
251,"— In the Netherlands, the Company is studying a project to capture 900,000 tons/year of CO2 generated by the Zeeland refinery’s hydrogen plant as of 2026.",26,"Supplying blue hydrogen to our refineries — • In the Netherlands, the Company is studying a project to capture 900,000 tons/year of CO2 generated by the Zeeland refinery’s hydrogen plant as of 2026.",33,Total,0021,0584,rel
252,The carbon would then be transported and stored as part of the Aramis project.,14,The carbon would then be transported and stored as part of the Aramis project.,14,Total,0021,0585,rel
253,"• In France, in July 2021, TotalEnergies joined with four other industrial companies in the Seine basin to launch development studies for carbon capture and maritime export infrastructure.",28,"• In France, in July 2021, TotalEnergies joined with four other industrial companies in the Seine basin to launch development studies for carbon capture and maritime export infrastructure.",28,Total,0021,0586,rel
254,"• In Belgium, the Company and its partners are studying the CO2 Antwerp@C project to collect and transport CO2 emissions from the Antwerp industrial port.",25,"• In Belgium, the Company and its partners are studying the CO2 Antwerp@C project to collect and transport CO2 emissions from the Antwerp industrial port.",25,Total,0021,0587,rel
255,"In all three cases, the CO2 would be stored in depeleted reservoirs in the North Sea.",16,"In all three cases, the CO2 would be stored in depeleted reservoirs in the North Sea.",16,Total,0021,0588,rel
256,"Developing transport and storage projects — • In Norway, the Company, together with Equinor and Shell, launched Northern Lights, the first large-scale carbon transport and storage project.",27,"Developing transport and storage projects — • In Norway, the Company, together with Equinor and Shell, launched Northern Lights, the first large-scale carbon transport and storage project.",27,Total,0021,0589,rel
257,"Approved by the Norwegian government in 2020, the project is currently in the construction phase.",15,"Approved by the Norwegian government in 2020, the project is currently in the construction phase.",15,Total,0021,0590,rel
258,It will allow industrial emitters in Norway and elsewhere in Europe to store their emissions.,15,It will allow industrial emitters in Norway and elsewhere in Europe to store their emissions.,15,Total,0021,0591,rel
259,"• In the Netherlands, TotalEnergies and its partners are studying the Aramis project designed to develop a logistics chain and hub in the port of Rotterdam to transport CO2 to depleted offshore fields, some of which are operated by TotalEnergies.",40,"• In the Netherlands, TotalEnergies and its partners are studying the Aramis project designed to develop a logistics chain and hub in the port of Rotterdam to transport CO2 to depleted offshore fields, some of which are operated by TotalEnergies.",40,Total,0021,0592,rel
260,"• In the United Kingdom, the Company is working with its partners on the Northern Endurance Partnership transport and storage project, which aims to decarbonize the Teesside and Humberside industrial regions.",31,"• In the United Kingdom, the Company is working with its partners on the Northern Endurance Partnership transport and storage project, which aims to decarbonize the Teesside and Humberside industrial regions.",31,Total,0021,0593,rel
261,"Backed by an average annual budget of $100 million between 2020 and 2030, TotalEnergies aims to build up a stock of 100 million credits1 and develop the annual capacity to produce at least 5 million credits a year as from 2030.",41,"Backed by an average annual budget of $100 million between 2020 and 2030, TotalEnergies aims to build up a stock of 100 million credits1 and develop the annual capacity to produce at least 5 million credits a year as from 2030.",41,Total,0021,0625,rel
262,"As of end-2021, TotalEnergies’ stock stood a little under 7 million certified credits.",13,"As of end-2021, TotalEnergies’ stock stood a little under 7 million certified credits.",13,Total,0021,0627,rel
263,"— Since 2021, TotalEnergies and CIMA (Centro de Conservation, Investigacion y Manejo de Areas Naturales), a Peru-based NGO, have been working together in the Peruvian Amazon to fund projects for preserving the primary forest in Cordilleria Azul National Park, which spans 1.35 million hectares and is included on the IUCN Green List.",52,"Peru — Since 2021, TotalEnergies and CIMA (Centro de Conservation, Investigacion y Manejo de Areas Naturales), a Peru-based NGO, have been working together in the Peruvian Amazon to fund projects for preserving the primary forest in Cordilleria Azul National Park, which spans 1.35 million hectares and is included on the IUCN Green List.",53,Total,0021,0630,rel
264,"Under the agreement, more than 15 Mt of CO2 equivalent will be prevented over ten years.",16,"Under the agreement, more than 15 Mt of CO2 equivalent will be prevented over ten years.",16,Total,0021,0633,rel
265,"— In March 2021, TotalEnergies and Forêt Ressources Management signed a partnership agreement with the Republic of the Congo for a large-scale, inclusive agroforestry management project that will sequester more than 10 Mt of CO2.",35,"Republic of the Congo — In March 2021, TotalEnergies and Forêt Ressources Management signed a partnership agreement with the Republic of the Congo for a large-scale, inclusive agroforestry management project that will sequester more than 10 Mt of CO2.",39,Total,0021,0634,rel
266,"In support of the European Union’s ambitions on the path toward carbon neutrality and in light of Europe’s weight in its Scope 3 emissions in 2015 (256 Mt out of 410 Mt), the Company has set a specific target of reducing its Scope 1+2+3 emissions in Europe by 30% in absolute terms over the same period, as the reduction in sales of petroleum products will focus particularly on Europe.",69,"This Scope 3 trend varies by region, in line with evolving global energy demand, since TotalEnergies has a very small footprint in North America: • In support of the European Union’s ambitions on the path toward carbon neutrality and in light of Europe’s weight in its Scope 3 emissions in 2015 (256 Mt out of 410 Mt), the Company has set a specific target of reducing its Scope 1+2+3 emissions in Europe by 30% in absolute terms over the same period, as the reduction in sales of petroleum products will focus particularly on Europe.",94,Total,0021,0646,rel
267,"Our objectives for 2030 TotalEnergies has set a target for 2030 of reducing its global Scope 3 emissions – i.e., those from the energy products used by our customers – to below 2015 levels, even though over the same period the Company plans to produce and sell 30% more energy products due, in particular, to growth in sales of elec- tricity and LNG.",63,"Our objectives for 2030 TotalEnergies has set a target for 2030 of reducing its global Scope 3 emissions – i.e., those from the energy products used by our customers – to below 2015 levels, even though over the same period the Company plans to produce and sell 30% more energy products due, in particular, to growth in sales of elec- tricity and LNG.",63,Total,0021,0649,rel
