,n-gram,irr_count,rel_count,difference,perc difference
1158,"inclusive, and",140.0,0.0,140.0,1.0
1171,"public, health",139.0,0.0,139.0,1.0
1173,"program, in",139.0,0.0,139.0,1.0
1175,"stakeholders, and",139.0,0.0,139.0,1.0
1176,"steps, to",139.0,0.0,139.0,1.0
1177,"data, for",139.0,0.0,139.0,1.0
1178,"a, glance",139.0,0.0,139.0,1.0
1179,"Report, 2020",139.0,0.0,139.0,1.0
1184,"regulatory, requirements",138.0,0.0,138.0,1.0
1187,"governance, body",138.0,0.0,138.0,1.0
1185,"progress, on",138.0,0.0,138.0,1.0
1180,"efforts, in",138.0,0.0,138.0,1.0
1183,"the, Code",138.0,0.0,138.0,1.0
1181,"reflect, the",138.0,0.0,138.0,1.0
1182,"Supplier, Diversity",138.0,0.0,138.0,1.0
1189,"Access, to",137.0,0.0,137.0,1.0
1190,"and, technology",137.0,0.0,137.0,1.0
1192,"pay, equity",137.0,0.0,137.0,1.0
1193,"Force, on",137.0,0.0,137.0,1.0
1194,"and, product",137.0,0.0,137.0,1.0
1196,"Cocoa, Life",137.0,0.0,137.0,1.0
1197,"PROGRESS, DOW",137.0,0.0,137.0,1.0
1207,"targets, and",136.0,0.0,136.0,1.0
1211,"Solutions, Our",136.0,0.0,136.0,1.0
1210,"our, organization",136.0,0.0,136.0,1.0
1209,"Reporting, and",136.0,0.0,136.0,1.0
1208,"The, management",136.0,0.0,136.0,1.0
1205,"Morris, International",136.0,0.0,136.0,1.0
1206,"the, safety",136.0,0.0,136.0,1.0
1204,"to, monitor",136.0,0.0,136.0,1.0
1200,"make, the",136.0,0.0,136.0,1.0
1198,"the, reporting",136.0,0.0,136.0,1.0
1222,"training, on",135.0,0.0,135.0,1.0
1233,"GOVERNANCE, APPENDICES",135.0,0.0,135.0,1.0
1232,"PEOPLE, GOVERNANCE",135.0,0.0,135.0,1.0
1231,"ENVIRONMENT, PEOPLE",135.0,0.0,135.0,1.0
1229,"INTRODUCTION, PROGRESS",135.0,0.0,135.0,1.0
1228,"of, how",135.0,0.0,135.0,1.0
1227,"must, be",135.0,0.0,135.0,1.0
1230,"PROGRESS, ENVIRONMENT",135.0,0.0,135.0,1.0
1220,"our, website",135.0,0.0,135.0,1.0
1217,"privacy, and",135.0,0.0,135.0,1.0
1212,"to, establish",135.0,0.0,135.0,1.0
1215,"learning, and",135.0,0.0,135.0,1.0
1214,"and, innovation",135.0,0.0,135.0,1.0
1213,"to, prevent",135.0,0.0,135.0,1.0
1218,"transparency, and",135.0,0.0,135.0,1.0
1242,"organizations, and",134.0,0.0,134.0,1.0
1245,"and, create",134.0,0.0,134.0,1.0
1244,"community, engagement",134.0,0.0,134.0,1.0
1243,"a, safe",134.0,0.0,134.0,1.0
1240,"Environmental, Progress",134.0,0.0,134.0,1.0
1238,"communities, we",134.0,0.0,134.0,1.0
1237,"available, in",134.0,0.0,134.0,1.0
1234,"Sourcing, and",134.0,0.0,134.0,1.0
1254,"of, Ethics",133.0,0.0,133.0,1.0
1261,"Report, 2025",133.0,0.0,133.0,1.0
1259,"Our, Employees",133.0,0.0,133.0,1.0
1257,"0, 2",133.0,0.0,133.0,1.0
1256,"the, work",133.0,0.0,133.0,1.0
1255,"Asia, Pacific",133.0,0.0,133.0,1.0
1246,"strategies, and",133.0,0.0,133.0,1.0
1253,"work, environment",133.0,0.0,133.0,1.0
1252,"to, conduct",133.0,0.0,133.0,1.0
1251,"help, ensure",133.0,0.0,133.0,1.0
1250,"It, ’",133.0,0.0,133.0,1.0
1248,"s, most",133.0,0.0,133.0,1.0
1275,"the, top",132.0,0.0,132.0,1.0
1269,"tools, to",132.0,0.0,132.0,1.0
1271,"with, other",132.0,0.0,132.0,1.0
1270,"Thermo, Fisher",132.0,0.0,132.0,1.0
1272,"the, workplace",132.0,0.0,132.0,1.0
1268,"issues, and",132.0,0.0,132.0,1.0
1264,"We, recognize",132.0,0.0,132.0,1.0
1263,"our, team",132.0,0.0,132.0,1.0
1265,"and, operations",132.0,0.0,132.0,1.0
1276,"Smarter, Chemistry",131.0,0.0,131.0,1.0
1281,"people, with",131.0,0.0,131.0,1.0
1282,"senior, leaders",131.0,0.0,131.0,1.0
1283,"partnerships, with",131.0,0.0,131.0,1.0
1292,"our, most",130.0,0.0,130.0,1.0
1295,"Targets, Appendix",130.0,0.0,130.0,1.0
1294,"–, Integrated",130.0,0.0,130.0,1.0
1293,"include, •",130.0,0.0,130.0,1.0
1289,"learn, more",130.0,0.0,130.0,1.0
1288,"creating, a",130.0,0.0,130.0,1.0
1287,"progress, and",130.0,0.0,130.0,1.0
1285,"product, and",130.0,0.0,130.0,1.0
1284,"services, to",130.0,0.0,130.0,1.0
1304,"found, in",129.0,0.0,129.0,1.0
1312,"ESG, Performance",129.0,0.0,129.0,1.0
1311,"Humanity, Report",129.0,0.0,129.0,1.0
1310,"representation, of",129.0,0.0,129.0,1.0
1308,"Our, reporting",129.0,0.0,129.0,1.0
1307,"environmental, sustainability",129.0,0.0,129.0,1.0
1306,"to, reflect",129.0,0.0,129.0,1.0
1297,"for, people",129.0,0.0,129.0,1.0
1303,"into, a",129.0,0.0,129.0,1.0
1302,"assessment, and",129.0,0.0,129.0,1.0
1300,"business, strategy",129.0,0.0,129.0,1.0
1299,"and, related",129.0,0.0,129.0,1.0
1298,"our, 2030",129.0,0.0,129.0,1.0
1296,"growth, and",129.0,0.0,129.0,1.0
1319,"for, this",128.0,0.0,128.0,1.0
1324,"Introduction, Climate",128.0,0.0,128.0,1.0
1323,"2021, at",128.0,0.0,128.0,1.0
1322,"Our, Communities",128.0,0.0,128.0,1.0
1321,"Stakeholder, Engagement",128.0,0.0,128.0,1.0
1318,"employees, with",128.0,0.0,128.0,1.0
1314,"and, Energy",128.0,0.0,128.0,1.0
1315,"sustainability, goals",128.0,0.0,128.0,1.0
1317,"programs, that",128.0,0.0,128.0,1.0
1316,"focus, areas",128.0,0.0,128.0,1.0
1341,"impact, Product",127.0,0.0,127.0,1.0
1327,"ESG, Data",127.0,0.0,127.0,1.0
1347,"OUR, PROGRESS",127.0,0.0,127.0,1.0
1346,"Engagement, Appendix",127.0,0.0,127.0,1.0
1345,"Chemistry, Engagement",127.0,0.0,127.0,1.0
1343,"Change, Resources",127.0,0.0,127.0,1.0
1342,"2022, Environmental",127.0,0.0,127.0,1.0
1344,"Resources, Smarter",127.0,0.0,127.0,1.0
1339,"International, –",127.0,0.0,127.0,1.0
1338,"at, bp",127.0,0.0,127.0,1.0
1334,"not, include",127.0,0.0,127.0,1.0
1332,"Department, of",127.0,0.0,127.0,1.0
1330,"stakeholder, engagement",127.0,0.0,127.0,1.0
1329,"and, quality",127.0,0.0,127.0,1.0
1328,"every, day",127.0,0.0,127.0,1.0
1359,"where, the",126.0,0.0,126.0,1.0
1370,"what, we",126.0,0.0,126.0,1.0
1369,"and, managing",126.0,0.0,126.0,1.0
1368,"Overview, Strategy",126.0,0.0,126.0,1.0
1367,"impact, Fundamentals",126.0,0.0,126.0,1.0
1366,"Operational, impact",126.0,0.0,126.0,1.0
1362,"Strategy, Operational",126.0,0.0,126.0,1.0
1360,"and, with",126.0,0.0,126.0,1.0
1365,"Product, impact",126.0,0.0,126.0,1.0
1358,"we, provide",126.0,0.0,126.0,1.0
1352,"to, and",126.0,0.0,126.0,1.0
1357,"efforts, and",126.0,0.0,126.0,1.0
1348,"diversity, of",126.0,0.0,126.0,1.0
1350,"action, plans",126.0,0.0,126.0,1.0
1351,"effectiveness, of",126.0,0.0,126.0,1.0
1364,"Fundamentals, Reporting",126.0,0.0,126.0,1.0
1353,"About, this",126.0,0.0,126.0,1.0
1355,"who, have",126.0,0.0,126.0,1.0
1356,"aspects, of",126.0,0.0,126.0,1.0
1372,"to, raise",125.0,0.0,125.0,1.0
1375,"data, to",125.0,0.0,125.0,1.0
1380,"is, used",125.0,0.0,125.0,1.0
1382,"to, measure",125.0,0.0,125.0,1.0
1383,"2, 0",125.0,0.0,125.0,1.0
1384,"ABOUT, ACCESS",125.0,0.0,125.0,1.0
1402,"TRACKING, OUR",124.0,0.0,124.0,1.0
1400,"GLOBAL, CORPORATE",124.0,0.0,124.0,1.0
1399,"2021, GLOBAL",124.0,0.0,124.0,1.0
1398,"Letter, Overview",124.0,0.0,124.0,1.0
1396,"Due, to",124.0,0.0,124.0,1.0
1395,"DATA, WORKFORCE",124.0,0.0,124.0,1.0
1393,"performance, of",124.0,0.0,124.0,1.0
1387,"Health, System",124.0,0.0,124.0,1.0
1392,"and, customers",124.0,0.0,124.0,1.0
1418,"to, comply",123.0,0.0,123.0,1.0
1428,"solutions, for",123.0,0.0,123.0,1.0
1427,"most, recent",123.0,0.0,123.0,1.0
1426,"Danaher, ’",123.0,0.0,123.0,1.0
1425,"DOW, REPORTING",123.0,0.0,123.0,1.0
1423,"Workplace, Communities",123.0,0.0,123.0,1.0
1422,"Communities, Environment",123.0,0.0,123.0,1.0
1421,"Approach, Introduction",123.0,0.0,123.0,1.0
1420,"DISCLOSURE, TRACKING",123.0,0.0,123.0,1.0
1419,"Overview, Workplace",123.0,0.0,123.0,1.0
1417,"Environment, Resp",123.0,0.0,123.0,1.0
1407,"Center, for",123.0,0.0,123.0,1.0
1403,"people, of",123.0,0.0,123.0,1.0
1405,"a, robust",123.0,0.0,123.0,1.0
1406,"accelerate, the",123.0,0.0,123.0,1.0
1416,"to, water",123.0,0.0,123.0,1.0
1408,"Public, Policy",123.0,0.0,123.0,1.0
1411,"our, mission",123.0,0.0,123.0,1.0
1415,"business, partners",123.0,0.0,123.0,1.0
1409,"Embedding, sustainability",123.0,0.0,123.0,1.0
1440,"value, for",122.0,0.0,122.0,1.0
1444,"Target, ’",122.0,0.0,122.0,1.0
1443,"GOVERNANCE, QUALITY",122.0,0.0,122.0,1.0
1441,"of, product",122.0,0.0,122.0,1.0
1442,"and, global",122.0,0.0,122.0,1.0
1439,"Reporting, Initiative",122.0,0.0,122.0,1.0
1438,"Global, Reporting",122.0,0.0,122.0,1.0
1436,"the, sustainability",122.0,0.0,122.0,1.0
1432,"High-Performing, Health",122.0,0.0,122.0,1.0
1431,"Modern, High-Performing",122.0,0.0,122.0,1.0
1445,"by, providing",121.0,0.0,121.0,1.0
1447,"and, initiatives",121.0,0.0,121.0,1.0
1449,"the, ESG",121.0,0.0,121.0,1.0
1451,"reported, in",121.0,0.0,121.0,1.0
1452,"applicable, laws",121.0,0.0,121.0,1.0
1455,"industry, and",121.0,0.0,121.0,1.0
1462,"recognize, that",120.0,0.0,120.0,1.0
1465,"Governance, and",120.0,0.0,120.0,1.0
1463,"closely, with",120.0,0.0,120.0,1.0
1460,"the, quality",120.0,0.0,120.0,1.0
1459,"processes, to",120.0,0.0,120.0,1.0
1458,"serve, as",120.0,0.0,120.0,1.0
1478,"the, products",119.0,0.0,119.0,1.0
1485,"highest, governance",119.0,0.0,119.0,1.0
1484,"occupational, health",119.0,0.0,119.0,1.0
1483,"forced, labor",119.0,0.0,119.0,1.0
1481,"Approach, Our",119.0,0.0,119.0,1.0
1480,"OUR, APPROACH",119.0,0.0,119.0,1.0
1479,"our, Global",119.0,0.0,119.0,1.0
1482,"of, 3M",119.0,0.0,119.0,1.0
1477,"materiality, assessment",119.0,0.0,119.0,1.0
1473,"We, do",119.0,0.0,119.0,1.0
1476,"to, inform",119.0,0.0,119.0,1.0
1470,"2021, Health",119.0,0.0,119.0,1.0
1472,"to, complete",119.0,0.0,119.0,1.0
1471,"integrated, into",119.0,0.0,119.0,1.0
1474,"and, promote",119.0,0.0,119.0,1.0
1475,"risk, and",119.0,0.0,119.0,1.0
1487,"as, possible",118.0,0.0,118.0,1.0
1488,"A, Modern",118.0,0.0,118.0,1.0
1490,"well-being, of",118.0,0.0,118.0,1.0
1492,"leaders, and",118.0,0.0,118.0,1.0
1493,"and, industry",118.0,0.0,118.0,1.0
1495,"the, ability",118.0,0.0,118.0,1.0
1496,"and, implement",118.0,0.0,118.0,1.0
1498,"business, units",118.0,0.0,118.0,1.0
1499,"and, all",118.0,0.0,118.0,1.0
1489,"of, any",118.0,0.0,118.0,1.0
1520,"Governance, Appendix",117.0,0.0,117.0,1.0
1518,"2020, Sustainable",117.0,0.0,117.0,1.0
1516,"2019, 2018",117.0,0.0,117.0,1.0
1521,"Engaging, stakeholders",117.0,0.0,117.0,1.0
1522,"packaging, and",117.0,0.0,117.0,1.0
1523,"the, results",117.0,0.0,117.0,1.0
1517,"Business, Governance",117.0,0.0,117.0,1.0
1519,"The, Big",117.0,0.0,117.0,1.0
1515,"Global, Compact",117.0,0.0,117.0,1.0
1510,"a, broad",117.0,0.0,117.0,1.0
1502,"companies, to",117.0,0.0,117.0,1.0
1503,"the, latest",117.0,0.0,117.0,1.0
1514,"of, information",117.0,0.0,117.0,1.0
1511,"UnitedHealth, Group",117.0,0.0,117.0,1.0
1513,"leadership, and",117.0,0.0,117.0,1.0
1538,"103-3, Evaluation",116.0,0.0,116.0,1.0
1542,"Report, Volunteering",116.0,0.0,116.0,1.0
1541,"Big, Picture",116.0,0.0,116.0,1.0
1540,"CHAIN, GOVERNANCE",116.0,0.0,116.0,1.0
1539,"Accountability, Innovation",116.0,0.0,116.0,1.0
1534,"suppliers, that",116.0,0.0,116.0,1.0
1532,"and, build",116.0,0.0,116.0,1.0
1530,"types, of",116.0,0.0,116.0,1.0
1528,"report, on",116.0,0.0,116.0,1.0
1526,"Approach, to",116.0,0.0,116.0,1.0
1555,"while, also",115.0,0.0,115.0,1.0
1564,"all, applicable",115.0,0.0,115.0,1.0
1562,"103-1, Explanation",115.0,0.0,115.0,1.0
1560,"•, Sustainability",115.0,0.0,115.0,1.0
1556,"we, must",115.0,0.0,115.0,1.0
1548,"To, help",115.0,0.0,115.0,1.0
1553,"the, Audit",115.0,0.0,115.0,1.0
1552,"their, communities",115.0,0.0,115.0,1.0
1551,"to, human",115.0,0.0,115.0,1.0
1550,"have, access",115.0,0.0,115.0,1.0
1546,"and, long-term",115.0,0.0,115.0,1.0
1573,"of, suppliers",114.0,0.0,114.0,1.0
1576,"Focus, on",114.0,0.0,114.0,1.0
1574,"to, find",114.0,0.0,114.0,1.0
1575,"East, Africa",114.0,0.0,114.0,1.0
1572,"in, each",114.0,0.0,114.0,1.0
1571,"relationships, with",114.0,0.0,114.0,1.0
1568,"and, security",114.0,0.0,114.0,1.0
1592,"WORKFORCE, ENVIRONMENT",113.0,0.0,113.0,1.0
1601,"work, in",113.0,0.0,113.0,1.0
1600,"Report, Introduction",113.0,0.0,113.0,1.0
1599,"Disclosures, –",113.0,0.0,113.0,1.0
1598,"Global, Environmental",113.0,0.0,113.0,1.0
1597,"not, available",113.0,0.0,113.0,1.0
1596,"The, Hershey",113.0,0.0,113.0,1.0
1594,"Overview, Education",113.0,0.0,113.0,1.0
1595,"5, APPENDIX",113.0,0.0,113.0,1.0
1591,"reporting, and",113.0,0.0,113.0,1.0
1583,"Sustainability, Accounting",113.0,0.0,113.0,1.0
1577,"processes, for",113.0,0.0,113.0,1.0
1590,"to, get",113.0,0.0,113.0,1.0
1580,"diverse, and",113.0,0.0,113.0,1.0
1578,"and, provides",113.0,0.0,113.0,1.0
1584,"our, values",113.0,0.0,113.0,1.0
1586,"are, available",113.0,0.0,113.0,1.0
1589,"stakeholders, to",113.0,0.0,113.0,1.0
1629,"natural, resources",112.0,0.0,112.0,1.0
1628,"sourced, from",112.0,0.0,112.0,1.0
1620,"2021, Target",112.0,0.0,112.0,1.0
1626,"we, strive",112.0,0.0,112.0,1.0
1625,"exposure, to",112.0,0.0,112.0,1.0
1623,"action, to",112.0,0.0,112.0,1.0
1622,"and, recycling",112.0,0.0,112.0,1.0
1621,"ENVIRONMENT, SUPPLY",112.0,0.0,112.0,1.0
1627,"process, for",112.0,0.0,112.0,1.0
1619,"future, of",112.0,0.0,112.0,1.0
1607,"and, make",112.0,0.0,112.0,1.0
1615,"limited, to",112.0,0.0,112.0,1.0
1602,"established, a",112.0,0.0,112.0,1.0
1603,"more, efficient",112.0,0.0,112.0,1.0
1604,"Disclosures, TCFD",112.0,0.0,112.0,1.0
1624,"Metric, tons",112.0,0.0,112.0,1.0
1609,"see, page",112.0,0.0,112.0,1.0
1610,"described, in",112.0,0.0,112.0,1.0
1614,"employee, engagement",112.0,0.0,112.0,1.0
1642,"ensure, the",111.0,0.0,111.0,1.0
1660,"for, Sustainable",111.0,0.0,111.0,1.0
1658,"of, COVID-19",111.0,0.0,111.0,1.0
1656,"and, Sustainability",111.0,0.0,111.0,1.0
1653,"water, consumption",111.0,0.0,111.0,1.0
1652,"Hershey, Company",111.0,0.0,111.0,1.0
1651,"ENVIRONMENT, SOCIAL",111.0,0.0,111.0,1.0
1649,"challenges, and",111.0,0.0,111.0,1.0
1648,"organization, and",111.0,0.0,111.0,1.0
1647,"and, information",111.0,0.0,111.0,1.0
1646,"business, practices",111.0,0.0,111.0,1.0
1643,"participating, in",111.0,0.0,111.0,1.0
1641,"Human, Resources",111.0,0.0,111.0,1.0
1640,"organizations, to",111.0,0.0,111.0,1.0
1638,"workers, and",111.0,0.0,111.0,1.0
1637,"the, community",111.0,0.0,111.0,1.0
1636,"to, offer",111.0,0.0,111.0,1.0
1635,"two, years",111.0,0.0,111.0,1.0
1634,"years, of",111.0,0.0,111.0,1.0
1633,"the, American",111.0,0.0,111.0,1.0
1632,"to, employees",111.0,0.0,111.0,1.0
1631,"•, A",111.0,0.0,111.0,1.0
1630,"information, to",111.0,0.0,111.0,1.0
1669,"TECHNOLOGIES, ESG",110.0,0.0,110.0,1.0
1675,"adult, smokers",110.0,0.0,110.0,1.0
1674,"RAYTHEON, TECHNOLOGIES",110.0,0.0,110.0,1.0
1673,"each, other",110.0,0.0,110.0,1.0
1671,"and, contractors",110.0,0.0,110.0,1.0
1670,"benefits, of",110.0,0.0,110.0,1.0
1665,"they, have",110.0,0.0,110.0,1.0
1666,"Committee, of",110.0,0.0,110.0,1.0
1663,"are, designed",110.0,0.0,110.0,1.0
1662,"of, life",110.0,0.0,110.0,1.0
1667,"2, 2",110.0,0.0,110.0,1.0
1690,"management, systems",109.0,0.0,109.0,1.0
1703,"of, human",109.0,0.0,109.0,1.0
1701,"refer, to",109.0,0.0,109.0,1.0
1698,"Powering, Progress",109.0,0.0,109.0,1.0
1696,"our, planet",109.0,0.0,109.0,1.0
1695,"this, is",109.0,0.0,109.0,1.0
1694,"APPENDIX, CHAPTER",109.0,0.0,109.0,1.0
1691,"our, water",109.0,0.0,109.0,1.0
1693,"Dow, Disclosures",109.0,0.0,109.0,1.0
1689,"available, on",109.0,0.0,109.0,1.0
1686,"assessments, and",109.0,0.0,109.0,1.0
1685,"Standards, Board",109.0,0.0,109.0,1.0
1683,"wide, range",109.0,0.0,109.0,1.0
1681,"time, and",109.0,0.0,109.0,1.0
1678,"including, those",109.0,0.0,109.0,1.0
1677,"supplier, diversity",109.0,0.0,109.0,1.0
1676,"ensure, we",109.0,0.0,109.0,1.0
1688,"Women, ’",109.0,0.0,109.0,1.0
1720,"the, scope",108.0,0.0,108.0,1.0
1716,"program, for",108.0,0.0,108.0,1.0
1718,"power, of",108.0,0.0,108.0,1.0
1719,"Products, Services",108.0,0.0,108.0,1.0
1726,"allows, us",108.0,0.0,108.0,1.0
1721,"Management, of",108.0,0.0,108.0,1.0
1724,"of, material",108.0,0.0,108.0,1.0
1725,"awareness, and",108.0,0.0,108.0,1.0
1715,"proud, of",108.0,0.0,108.0,1.0
1713,"did, not",108.0,0.0,108.0,1.0
1714,"and, products",108.0,0.0,108.0,1.0
1711,"essential, to",108.0,0.0,108.0,1.0
1710,"technologies, to",108.0,0.0,108.0,1.0
1709,"the, public",108.0,0.0,108.0,1.0
1708,"assessment, of",108.0,0.0,108.0,1.0
1707,"plans, and",108.0,0.0,108.0,1.0
1706,"information, is",108.0,0.0,108.0,1.0
1705,"Guiding, Principles",108.0,0.0,108.0,1.0
1712,"and, as",108.0,0.0,108.0,1.0
1740,"the, Sustainability",107.0,0.0,107.0,1.0
1745,"relevant, to",107.0,0.0,107.0,1.0
1744,"Altria, ’",107.0,0.0,107.0,1.0
1742,"know, that",107.0,0.0,107.0,1.0
1741,"participation, in",107.0,0.0,107.0,1.0
1734,"are, subject",107.0,0.0,107.0,1.0
1737,"change, in",107.0,0.0,107.0,1.0
1733,"an, independent",107.0,0.0,107.0,1.0
1731,"where, they",107.0,0.0,107.0,1.0
1730,"for, those",107.0,0.0,107.0,1.0
1727,"understand, and",107.0,0.0,107.0,1.0
1758,"our, purpose",106.0,0.0,106.0,1.0
1768,"do, business",106.0,0.0,106.0,1.0
1767,"0.00, 0.00",106.0,0.0,106.0,1.0
1766,"opportunity, for",106.0,0.0,106.0,1.0
1765,"not, included",106.0,0.0,106.0,1.0
1760,"Target, Corporate",106.0,0.0,106.0,1.0
1759,"Table, of",106.0,0.0,106.0,1.0
1763,"related, risks",106.0,0.0,106.0,1.0
1757,"our, core",106.0,0.0,106.0,1.0
1755,"water, stewardship",106.0,0.0,106.0,1.0
1746,"young, people",106.0,0.0,106.0,1.0
1753,"and, where",106.0,0.0,106.0,1.0
1752,"and, report",106.0,0.0,106.0,1.0
1749,"and, Governance",106.0,0.0,106.0,1.0
1747,"vice, president",106.0,0.0,106.0,1.0
1795,"Our, Business",105.0,0.0,105.0,1.0
1794,"requirements, for",105.0,0.0,105.0,1.0
1793,"for, new",105.0,0.0,105.0,1.0
1792,"Europe, Middle",105.0,0.0,105.0,1.0
1791,"principles, and",105.0,0.0,105.0,1.0
1790,"While, we",105.0,0.0,105.0,1.0
1789,"engage, in",105.0,0.0,105.0,1.0
1787,"use, the",105.0,0.0,105.0,1.0
1784,"and, Corporate",105.0,0.0,105.0,1.0
1782,"we, live",105.0,0.0,105.0,1.0
1781,"risks, are",105.0,0.0,105.0,1.0
1780,"Description, of",105.0,0.0,105.0,1.0
1779,"to, encourage",105.0,0.0,105.0,1.0
1778,"our, colleagues",105.0,0.0,105.0,1.0
1777,"with, diverse",105.0,0.0,105.0,1.0
1776,"Please, see",105.0,0.0,105.0,1.0
1772,"information, see",105.0,0.0,105.0,1.0
1771,"diverse, talent",105.0,0.0,105.0,1.0
1820,"changes, to",104.0,0.0,104.0,1.0
1819,"standards, for",104.0,0.0,104.0,1.0
1818,"and, policies",104.0,0.0,104.0,1.0
1811,"of, 1",104.0,0.0,104.0,1.0
1814,"CEO, Message",104.0,0.0,104.0,1.0
1813,"Cisco, ’",104.0,0.0,104.0,1.0
1812,"our, Code",104.0,0.0,104.0,1.0
1816,"Reporting, Framework",104.0,0.0,104.0,1.0
1809,"our, key",104.0,0.0,104.0,1.0
1799,"guided, by",104.0,0.0,104.0,1.0
1796,"rate, of",104.0,0.0,104.0,1.0
1797,"the, report",104.0,0.0,104.0,1.0
1805,"to, rounding",104.0,0.0,104.0,1.0
1800,"We, strive",104.0,0.0,104.0,1.0
1804,"care, and",104.0,0.0,104.0,1.0
1803,"among, the",104.0,0.0,104.0,1.0
1837,"ESG, Reporting",103.0,0.0,103.0,1.0
1845,"external, stakeholders",103.0,0.0,103.0,1.0
1844,"for, both",103.0,0.0,103.0,1.0
1842,"affected, by",103.0,0.0,103.0,1.0
1841,"FROM, OUR",103.0,0.0,103.0,1.0
1840,"success, of",103.0,0.0,103.0,1.0
1839,"a, “",103.0,0.0,103.0,1.0
1838,"could, be",103.0,0.0,103.0,1.0
1832,"Human, rights",103.0,0.0,103.0,1.0
1831,"the, greatest",103.0,0.0,103.0,1.0
1830,"to, sustainability",103.0,0.0,103.0,1.0
1827,"see, our",103.0,0.0,103.0,1.0
1826,"to, contribute",103.0,0.0,103.0,1.0
1825,"communities, to",103.0,0.0,103.0,1.0
1824,"and, supporting",103.0,0.0,103.0,1.0
1822,"for, future",103.0,0.0,103.0,1.0
1833,"of, diverse",103.0,0.0,103.0,1.0
1860,"LETTER, FROM",102.0,0.0,102.0,1.0
1868,"the, design",102.0,0.0,102.0,1.0
1867,"in, need",102.0,0.0,102.0,1.0
1866,"training, to",102.0,0.0,102.0,1.0
1865,"to, foster",102.0,0.0,102.0,1.0
1864,"Indexes, and",102.0,0.0,102.0,1.0
1863,"for, customers",102.0,0.0,102.0,1.0
1861,"and, Glossary",102.0,0.0,102.0,1.0
1859,"the, effectiveness",102.0,0.0,102.0,1.0
1857,"monitor, and",102.0,0.0,102.0,1.0
1855,"natural, disasters",102.0,0.0,102.0,1.0
1852,"experience, and",102.0,0.0,102.0,1.0
1850,"supports, the",102.0,0.0,102.0,1.0
1848,"opportunities, in",102.0,0.0,102.0,1.0
1847,"assess, the",102.0,0.0,102.0,1.0
1858,"distribution, centers",102.0,0.0,102.0,1.0
1894,"the, Supply",101.0,0.0,101.0,1.0
1889,"a, way",101.0,0.0,101.0,1.0
1890,"bp, 2021",101.0,0.0,101.0,1.0
1892,"the, 3M",101.0,0.0,101.0,1.0
1893,"Performance, and",101.0,0.0,101.0,1.0
1898,"of, sustainable",101.0,0.0,101.0,1.0
1895,"Palm, Oil",101.0,0.0,101.0,1.0
1896,"PERFORMANCE, DATA",101.0,0.0,101.0,1.0
1897,"launch, of",101.0,0.0,101.0,1.0
1887,"both, the",101.0,0.0,101.0,1.0
1901,"a, difference",101.0,0.0,101.0,1.0
1902,"Women, in",101.0,0.0,101.0,1.0
1888,"2021, Annual",101.0,0.0,101.0,1.0
1883,"Compliance, and",101.0,0.0,101.0,1.0
1886,"workforce, and",101.0,0.0,101.0,1.0
1885,"recycled, content",101.0,0.0,101.0,1.0
1884,"waste, generated",101.0,0.0,101.0,1.0
1882,"Chairman, and",101.0,0.0,101.0,1.0
1881,"people, who",101.0,0.0,101.0,1.0
1880,"barriers, to",101.0,0.0,101.0,1.0
1879,"regardless, of",101.0,0.0,101.0,1.0
1878,"environmental, footprint",101.0,0.0,101.0,1.0
1877,"Accounting, Standards",101.0,0.0,101.0,1.0
1873,"policy, and",101.0,0.0,101.0,1.0
1872,"water, management",101.0,0.0,101.0,1.0
1870,"a, leading",101.0,0.0,101.0,1.0
1869,"organization, to",101.0,0.0,101.0,1.0
1903,"impacts, on",101.0,0.0,101.0,1.0
